date,exchange_rate
2013-10-21,186.12
2013-10-24,203.7
2013-10-27,179.56
2013-10-29,216
2013-11-01,203
2013-11-04,229.95
2013-11-07,291.02
2013-11-10,328
2013-11-13,393
2013-11-16,437.24
2013-11-19,547
2013-11-22,795
2013-11-25,814.56
2013-11-28,1014.1
2013-12-01,955.01
2013-12-04,1136.9
2013-12-07,705.91
2013-12-10,978.76
2013-12-13,885
2013-12-16,690
2013-12-19,685.3
2013-12-22,614.11
2013-12-25,679.02
2013-12-28,715
2013-12-31,732
2014-01-03,807.39
2014-01-06,915.69
2014-01-09,826.28
2014-01-12,844.04
2014-01-15,841.83
2014-01-18,811.2
2014-01-21,824.78
2014-01-24,780.02
2014-01-27,747.57
2014-01-30,800
2014-02-02,814.34
2014-02-05,781
2014-02-08,680.8
2014-02-11,675.1
2014-02-14,670.29
2014-02-17,629.96
2014-02-20,563
2014-02-23,611.05
2014-02-26,585.21
2014-03-01,567.48
2014-03-04,673.28
2014-03-07,631.99
2014-03-10,629.33
2014-03-13,641.01
2014-03-16,634.99
2014-03-19,611.2
2014-03-22,563.01
2014-03-25,585.79
2014-03-28,499.6
2014-04-01,457.49
2014-04-04,448.72
2014-04-07,458
2014-04-10,441.93
2014-04-13,423.37
2014-04-16,523
2014-04-19,482.11
2014-04-22,498.38
2014-04-25,502.15
2014-04-28,438.8
2014-05-01,452.03
2014-05-04,440
2014-05-07,428.01
2014-05-10,449
2014-05-13,442.45
2014-05-16,446.53
2014-05-19,446.89
2014-05-22,493.97
2014-05-25,527.91
2014-05-28,572.7
2014-05-31,621.3
2014-06-03,662
2014-06-06,661.48
2014-06-09,657.11
2014-06-12,624.97
2014-06-15,572.28
2014-06-18,608
2014-06-21,593.48
2014-06-24,588.25
2014-06-27,577.34
2014-06-30,599.99
2014-07-03,650.49
2014-07-06,631
2014-07-09,624.97
2014-07-12,634
2014-07-15,621.21
2014-07-18,625.8
2014-07-21,627
2014-07-24,620.43
2014-07-27,595.9
2014-07-30,585.5
2014-08-02,595.76
2014-08-05,588.5
2014-08-08,585.02
2014-08-11,590.74
2014-08-14,549.98
2014-08-17,523.88
2014-08-20,490
2014-08-23,515.69
2014-08-26,501.55
2014-08-29,506.61
2014-09-01,478.87
2014-09-04,474.5
2014-09-07,479.59
2014-09-10,473.35
2014-09-13,474.62
2014-09-16,470.83
2014-09-19,425.56
2014-09-22,401.15
2014-09-25,423.68
2014-09-28,400.39
2014-10-01,390.18
2014-10-04,358.9
2014-10-07,327.61
2014-10-10,363.61
2014-10-13,380.8
2014-10-16,394.84
2014-10-19,391
2014-10-22,385.89
2014-10-25,358.49
2014-10-27,350.9
2014-10-30,345.3
2014-11-02,324.36
2014-11-05,338.63
2014-11-08,346.94
2014-11-11,369.41
2014-11-14,399.11
2014-11-17,388.87
2014-11-20,356.47
2014-11-23,367.12
2014-11-26,366.86
2014-11-29,375.59
2014-12-02,379.62
2014-12-05,376
2014-12-08,362.99
2014-12-11,348.97
2014-12-14,357.8
2014-12-17,321.34
2014-12-20,331.52
2014-12-23,336.95
2014-12-26,329.94
2014-12-29,313.4
2015-01-01,314.81
2015-01-04,263.17
2015-01-07,297.99
2015-01-10,275.97
2015-01-13,222
2015-01-16,208.13
2015-01-19,216.01
2015-01-22,233.51
2015-01-25,254.32
2015-01-28,236.2
2015-01-31,219.25
2015-02-03,227.53
2015-02-06,222.36
2015-02-09,219.93
2015-02-12,222.33
2015-02-15,234.18
2015-02-18,237.44
2015-02-21,245.41
2015-02-24,239.94
2015-02-27,252.11
2015-03-02,275.87
2015-03-05,273.11
2015-03-08,275
2015-03-11,296.56
2015-03-14,282.2
2015-03-17,284.48
2015-03-20,262.1
2015-03-23,265.99
2015-03-26,249.23
2015-03-30,242.34
2015-04-02,246.49
2015-04-05,253.67
2015-04-08,253.9
2015-04-11,236
2015-04-14,223.01
2015-04-17,227.5
2015-04-20,222.61
2015-04-23,233.59
2015-04-26,226.29
2015-04-29,225.2
2015-05-02,230.97
2015-05-05,238.25
2015-05-08,237.16
2015-05-11,239.11
2015-05-14,235.97
2015-05-17,236.63
2015-05-20,231.4
2015-05-23,238.8
2015-05-26,235.59
2015-05-29,236.44
2015-06-01,228.34
2015-06-04,225.4
2015-06-07,224.99
2015-06-10,228.88
2015-06-13,229.6
2015-06-16,236
2015-06-19,248.26
2015-06-22,243.55
2015-06-25,240.2
2015-06-28,251.21
2015-07-01,262.43
2015-07-04,256.12
2015-07-07,268.53
2015-07-10,269
2015-07-13,310.55
2015-07-16,285.66
2015-07-19,276.74
2015-07-22,276.76
2015-07-25,289
2015-07-28,293.93
2015-07-31,288.45
2015-08-03,282.26
2015-08-06,281
2015-08-09,262.22
2015-08-12,270.98
2015-08-15,265.93
2015-08-18,256.66
2015-08-21,235.31
2015-08-24,228.14
2015-08-27,225.04
2015-08-30,229.63
2015-09-02,227.97
2015-09-05,230.73
2015-09-08,240.47
2015-09-11,238.81
2015-09-14,230
2015-09-17,228.33
2015-09-20,230.25
2015-09-23,230.42
2015-09-26,235.22
2015-09-29,239.14
2015-10-02,238.03
2015-10-05,238.4
2015-10-08,243.01
2015-10-11,245.72
2015-10-14,249.98
2015-10-17,262.26
2015-10-20,263.59
2015-10-23,274.35
2015-10-25,282.8
2015-10-28,304.79
2015-10-31,310.18
2015-11-03,404.5
2015-11-06,373.69
2015-11-09,380.62
2015-11-12,340.81
2015-11-15,318.97
2015-11-18,333.66
